leaguePosition,team,player,ban1,ban2,ban3,ban4,ban5
lckTOP,Afreeca Freecs,Kiin,Gnar,Lucian,Xin Zhao,LeBlanc,Ryze
lckTOP,Afreeca Freecs,Kiin,Gnar,Lucian,Xin Zhao,LeBlanc,Azir
lckTOP,Afreeca Freecs,Kiin,Gnar,Lucian,Akali,Thresh,Braum
lckTOP,Afreeca Freecs,Kiin,Gnar,Lucian,Xin Zhao,Braum,Lee Sin
lckTOP,Afreeca Freecs,Kiin,Gnar,Lucian,Varus,Thresh,Ornn
lckTOP,Afreeca Freecs,Kiin,Viego,Irelia,Jayce,Varus,Kalista
lckTOP,Afreeca Freecs,Kiin,Lucian,Jayce,Irelia,Olaf,Lee Sin
lckTOP,Afreeca Freecs,Kiin,Viego,Irelia,Diana,Varus,Neeko
lckTOP,Afreeca Freecs,Kiin,Aphelios,Kalista,Irelia,Gnar,Ornn
lckTOP,Afreeca Freecs,Kiin,Kalista,Aphelios,Irelia,Ornn,Gwen
lckTOP,Afreeca Freecs,Kiin,Aphelios,Kalista,Renekton,Braum,Gwen
lckTOP,Afreeca Freecs,Kiin,Viego,Lucian,Renekton,Ziggs,Rell
lckTOP,Afreeca Freecs,Kiin,Lucian,Irelia,Jayce,Lee Sin,Diana
lckTOP,Afreeca Freecs,Kiin,Lucian,Jayce,Viego,Gwen,Gnar
lckTOP,Afreeca Freecs,Kiin,Viego,Lee Sin,Aphelios,Ashe,Irelia
lckTOP,Afreeca Freecs,Kiin,Viego,Renekton,Lee Sin,Leona,Jayce
lckTOP,Afreeca Freecs,Kiin,Irelia,Lee Sin,Thresh,Gwen,Gnar
lckTOP,Afreeca Freecs,Kiin,Diana,Lucian,Jayce,Irelia,Camille
lckTOP,Afreeca Freecs,Kiin,Diana,Lucian,Jayce,Irelia,Kennen
lckTOP,Afreeca Freecs,Kiin,Lucian,Renekton,Jayce,Kennen,Sylas
lckTOP,Afreeca Freecs,Kiin,Lucian,Renekton,Jayce,Kennen,Sylas
lckTOP,Afreeca Freecs,Kiin,Irelia,Lucian,Jayce,Sylas,Camille
lckTOP,Afreeca Freecs,Kiin,Lucian,Renekton,Trundle,Karma,Kennen
lckTOP,Afreeca Freecs,Kiin,Irelia,Lucian,Trundle,Gangplank,LeBlanc
lckSUP,Afreeca Freecs,Lehends,Gnar,Lucian,Nocturne,Gragas,Gwen
lckSUP,Afreeca Freecs,Lehends,Gnar,Lucian,Nocturne,Gragas,Akali
lckSUP,Afreeca Freecs,Lehends,Lucian,Nocturne,Akali,Ezreal,Kalista
lckSUP,Afreeca Freecs,Lehends,Lulu,Nocturne,Lee Sin,Kalista,Kai'Sa
lckSUP,Afreeca Freecs,Lehends,Lulu,Nocturne,Akali,Thresh,Irelia
lckSUP,Afreeca Freecs,Lehends,Lucian,Udyr,Renekton,Nocturne,Sylas
lckSUP,Afreeca Freecs,Lehends,Ezreal,Akali,Lee Sin,Nocturne,Viego
lckSUP,Afreeca Freecs,Lehends,Sylas,Akali,Lee Sin,Braum,Viego
lckSUP,Afreeca Freecs,Lehends,Sylas,Akali,Lee Sin,Leona,Viego
lckSUP,Afreeca Freecs,Lehends,Akali,Lucian,Rumble,Nautilus,Sylas
lckSUP,Afreeca Freecs,Lehends,Rumble,Lucian,Lee Sin,Olaf,Sylas
lckSUP,Afreeca Freecs,Lehends,Akali,Sylas,Lee Sin,Azir,Udyr
lckSUP,Afreeca Freecs,Lehends,Azir,Akali,Nocturne,Gragas,Sett
lckSUP,Afreeca Freecs,Lehends,Azir,Akali,Nocturne,Gragas,Taric
lckSUP,Afreeca Freecs,Lehends,Akali,Lucian,Renekton,Azir,LeBlanc
lckSUP,Afreeca Freecs,Lehends,Akali,Lucian,Leona,Gnar,Nocturne
lckSUP,Afreeca Freecs,Lehends,Lucian,Akali,Leona,Azir,Orianna
lckSUP,Afreeca Freecs,Lehends,Lee Sin,Nocturne,Akali,Azir,Lucian
lckSUP,Afreeca Freecs,Lehends,Ezreal,Akali,Lucian,Leona,Varus
lckSUP,Afreeca Freecs,Lehends,Ezreal,Lee Sin,Akali,Gwen,Azir
lckSUP,Afreeca Freecs,Lehends,Thresh,Akali,LeBlanc,Gnar,Leona
lckSUP,Afreeca Freecs,Lehends,Thresh,Akali,LeBlanc,Gnar,Leona
lckSUP,Afreeca Freecs,Lehends,Gnar,Lucian,Xin Zhao,LeBlanc,Ryze
lckSUP,Afreeca Freecs,Lehends,Gnar,Lucian,Xin Zhao,LeBlanc,Azir
lckSUP,Afreeca Freecs,Lehends,Gnar,Lucian,Akali,Thresh,Braum
lckSUP,Afreeca Freecs,Lehends,Gnar,Lucian,Xin Zhao,Braum,Lee Sin
lckSUP,Afreeca Freecs,Lehends,Gnar,Lucian,Varus,Thresh,Ornn
lckSUP,Afreeca Freecs,Lehends,Viego,Irelia,Jayce,Varus,Kalista
lckSUP,Afreeca Freecs,Lehends,Lucian,Jayce,Irelia,Olaf,Lee Sin
lckSUP,Afreeca Freecs,Lehends,Viego,Irelia,Diana,Varus,Neeko
lckSUP,Afreeca Freecs,Lehends,Aphelios,Kalista,Irelia,Gnar,Ornn
lckSUP,Afreeca Freecs,Lehends,Kalista,Aphelios,Irelia,Ornn,Gwen
lckSUP,Afreeca Freecs,Lehends,Aphelios,Kalista,Renekton,Braum,Gwen
lckSUP,Afreeca Freecs,Lehends,Viego,Lucian,Renekton,Ziggs,Rell
